rank,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,asset_count,map_count,mod_count
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,3721,3341,26,25,1
2,devenperez,devenperez,https://github.com/devenperez,2824,2741,8,8,0
3,Valdotorium,Valdotorium,https://github.com/Valdotorium,2253,2253,6,4,2
4,stefanorigano,stefanorigano,https://github.com/stefanorigano,1980,1980,1,0,1
5,rslurry,slurry,https://github.com/rslurry,1734,1649,17,17,0
6,Maximilian284,max02,https://github.com/Maximilian284,1480,1440,18,18,0
7,crumpetime,muffintime,https://github.com/crumpetime,1466,1453,6,5,1
8,Kronifer,Kronifer,https://github.com/Kronifer,1112,825,4,4,0
9,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,869,869,1,0,1
10,ryandicicco,ryandicicco,https://github.com/ryandicicco,843,630,5,5,0
11,DanielD1909,DanielD1909,https://github.com/DanielD1909,807,802,2,1,1
12,BarKuperman,BarKuperman,https://github.com/BarKuperman,802,751,3,2,1
13,nzh0172,naz,https://github.com/nzh0172,541,541,4,2,2
14,soccerjonj,soccerjonj,https://github.com/soccerjonj,534,469,7,7,0
15,TransitCore,TransitCore,https://github.com/TransitCore,348,348,1,0,1
16,WillBarouch,WillBarouch,https://github.com/WillBarouch,249,249,1,1,0
17,Bobby-047,Bobby-047,https://github.com/Bobby-047,165,165,1,0,1
18,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,116,116,6,6,0
19,metatablestudios,metatablestudios,https://github.com/metatablestudios,89,89,1,1,0
20,kaicardenas0618,Kai,https://subwaybuildermodded.com/credits,12,12,1,1,0
